,,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO,HCO+,Cloud contamination?
1,05:32:16.83 -05:48:23.7,3,8,5840,3.85,0.114,1,2.75,0.08,F17,1,-10,,0,0,0,0,5.85E-04,1.17E-04,0.523,-10,9.635,0.025,9.388,0.02,9.312,0.024,9.267,0.023,9.277,0.021,9.08,0.052,,,,,,,,,,,,,,,,
2,05:34 23.86 -05:15:40.3,3,5,4280,3.99,0.0215,2,2.557,0.029,F17,0.665,0.0129,,0,0,0,0,6.55E-04,1.31E-04,0.677,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,05:35:28.6 -04:55:03,3,4,4700,4.58,0.000692,1,3.205,0.014,F17,1,-10,,0,0,0,0,5.95E-04,1.19E-04,0.391,-10,10.902,0.019,10.372,0.028,10.29,0.019,10.164,0.028,10.343,0.032,,,,,,,,,,,,,,,,,,
4,05:34:55.63 -06:01:03.6,3,5,3820,4.49,0.407,2,2.553,0.028,F17,0.863,0.45,,0,0,0,0,6.40E-04,1.28E-04,0.663,-10,12.472,0.019,11.815,0.031,11.572,0.19,11.529,0.024,11.421,0.023,,,,,,,,,,,,,,,,,,
5,05:35:03.26 -04:49:20.9,2,2,4330,4.34,0.709,2,2.555,-10,F17,0.464,0.0403,0.00173,0.0717,0.017,-0.067,0.014,0.00174,0.000073,1.8,0.08,9.959,0.019,9.078,0.03,8.51,0.019,7.705,0.027,7.26,0.021,,,,,,,,,,,,,,,,,,
6,05:35:03.92 -05:29:03.3,2,5,4080,4.32,0.407,2,2.537,0.026,F17,0.561,0.0121,0.00173,-0.011,0.016,0.009,0.013,0.00173,0.000069,1.785,0.087,11.239,0.02,10.436,0.031,10.112,0.021,9.348,0.024,9.225,0.024,6.425,0.033,,,9.49,0.01,9.11,0.01,8.83,0.02,8.05,0.02,3.52,0.03,-1.22,D,,
7,05:35:29.89 -05:12:10.3,3,4,3060,4.71,0.373,2,2.533,0.063,F17,0.953,0.0478,,0,0,0,0,7.40E-04,1.48E-04,0.779,-10,12.665,0.022,12.056,0.036,11.744,0.032,,,,,,,,,,,,,,,,,,,,,,
8,05:35:10.77 -06:51:55.7,0,2,6510,5.99,0.0619,1,2.476,0.016,F17,1,-10,,0,0,0,0,6.50E-04,1.30E-04,0.716,-10,,,,,,,10.531,0.023,10.539,0.021,10.041,0.067,,,,,,,,,,,,,,,,
9,05:35:15.8 -06:46:29.1,3,2,5640,5.12,0.0464,2,1.8,0.088,F17,1,-10,,0,0,0,0,6.20E-04,1.24E-04,1.29,-10,12.541,0.025,11.571,0.03,11.159,0.02,10.908,0.023,10.827,0.021,,,,,,,,,,,,,,,,,,
10,05 43 24.64 -08 13 27.5,0,3,3830,5.18,0.456,2,5.7,0.026,F17,1,-10,,0,0,0,0,6.35E-04,1.27E-04,0.13,-10,11.987,0.021,11.385,0.024,11.142,0.019,11.003,0.022,10.9,0.021,,,,,,,,,,,,,,,,,,
11,05 34 52.49 -04 49 40.4,3,4,3770,4.11,0.505,2,2.915,0.182,F17,0.857,0.103,,0,0,0,0,6.40E-04,1.28E-04,0.509,-10,13.76,0.027,12.454,0.032,11.875,0.025,10.397,0.034,10.117,0.039,5.149,0.036,3.287,0.077,,,,,,,,,,,,,,
12,05 36 47.17 -05 22 50.0,2,4,3260,3.74,0.475,1,2.561,0.038,F17,1,-10,,0,0,0,0,7.05E-04,1.41E-04,0.726,-10,12.772,0.019,12.146,0.032,11.874,0.018,11.669,0.025,11.303,0.027,,,,,11.61,0.01,11.31,0.01,10.91,0.01,9.52,0.01,6.06,0.02,-0.45,D,,
13,05 38 25.89 -06 59 51.9,0,6,3820,5.39,0.485,1,5.676,0.037,F17,1,-10,,0,0,0,0,7.85E-04,1.57E-04,0.17,-10,13.077,0.023,12.378,0.025,12.178,0.026,12.058,0.024,11.916,0.022,,,,,,,,,,,,,,,,,,
14,05 41 24.51 -08 56 32.0,2,3,4490,4.33,0.208,1,2.15,0.02,F17,1,-10,0.000831,0.355,0.032,-0.217,0.026,0.00086,0.000069,1.251,0.1,11.108,0.021,10.173,0.02,9.711,0.021,9.114,0.023,8.748,0.02,7.005,0.018,5.305,0.046,9.02,0.01,8.75,0.01,8.45,0.01,7.91,0.01,5.33,0.02,-1.56,D,,
15,05 34 06.93 -04 39 30.3,3,1,4700,4.87,0.312,2,2.534,0.017,F17,1,-10,,0,0,0,0,6.80E-04,1.36E-04,0.715,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,05 34 30.87 -04 25 07.0,0,1,4300,5.1,0.635,2,2.565,0.033,F17,1,-10,,0,0,0,0,6.15E-04,1.23E-04,0.631,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,05 34 52.2 -04 40 11.7**,2,1,5290,5.11,0.613,2,2.445,0.021,F17,1,-10,,0,0,0,0,5.90E-04,1.18E-04,0.667,-10,11.48,0.02,10.44,0.03,9.8,0.02,,,,,,,,,9.07,0.01,8.72,0.01,8.55,0.01,7.91,0.01,4.75,0.02,-1.55,D,,
17,05 34 51.74 -04 40 05.94*,,,,,,,2.591,0.029,,,,0.00128,-6.84,0.03,5.78,0.03,0.000872,0.000069,0.984,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,05 35 11.13 -05 36 51.1,3,1,4050,3.93,0.179,2,2.591,0.029,F17,1,-10,,0,0,0,0,6.15E-04,1.23E-04,0.619,-10,11.124,0.021,10.267,0.03,9.938,0.016,9.763,0.028,9.74,0.028,,,3.993,0.105,,,,,,,,,,,,,,
19,05 35 15.54 -05 25 14.0,3,1,4230,3.99,0.0933,2,2.505,0.051,F17,1,-10,,0,0,0,0,9.70E-04,1.94E-04,1.044,-10,10.02,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,yes
20,05 35 28.13 -05 23 06.4,2,1,3610,3.7,0.317,2,2.41,0.161,F17,1,-10,0.0255,0.116,0.001,0.02096,0.0009,0.02566,0.000069,30.05,4.17,12.742,0.016,11.048,0.028,10.04,0.016,,,,,,,,,8.87,0.01,8.44,0.01,7.79,0.03,,,,,,D,yes,
21,05 35 31.54 -05 40 27.8,3,4,4460,4.2,0.00216,2,2.439,0.089,F17,0.659,0.0235,,0,0,0,0,6.85E-04,1.37E-04,0.778,-10,12.577,0.019,11.075,0.03,10.408,0.018,9.989,0.026,9.899,0.026,,,,,,,,,,,,,,,,,,
22,05 35 36.45 -04 21 30.4,3,1,3820,4.44,0.399,1,2.226,0.214,F17,1,-10,,0,0,0,0,6.05E-04,1.21E-04,0.825,-10,11.624,0.019,10.949,0.03,10.712,0.017,10.613,0.024,10.501,0.021,,,,,,,,,,,,,,,,,,
23,05 35 54.08 -05 28 32.7,3,2,4230,4.61,0.807,2,2.997,1.04,F17,0.83,0.102,,0,0,0,0,7.60E-04,1.52E-04,0.572,-10,14.198,0.026,12.182,0.035,11.19,0.023,,,,,,,,,,,,,,,,,,,,,,
