Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
17.0,05 34 52.2 -04 40 11.7**,2.0,1.0,5290.0,5.11,0.613,2.0,,,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,,-10.0,,,11.48,0.02,10.44,0.03,9.8,0.02,,,,,,,,,9.07,0.01,8.72,0.01,8.55,0.01,7.91,0.01,4.75,0.02,-1.55,D,
76.0,05 35 26.589 -04 56 06.71**,3.0,1.0,3980.0,4.29,0.403,1.0,,,K16,1.0,-10.0,,,,,,,,,,11.857,0.023,11.158,0.03,10.931,0.019,,,,,,,,,,,,,,,,,,,,,
107.0,05 35 20.04 -05 21 05.9**,2.0,1.0,4410.0,4.01,0.181,1.0,,,K16,1.0,-10.0,,,,,,,,,,10.59,0.03,9.4,0.04,8.71,0.03,,,,,,,,,7.62,0.01,7.12,0.01,6.43,0.02,,,,,,D,
113.0,05 35 26.06 -05 08 37.9**,,,3850.0,,,,,,K16,1.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,05:35:15.8 -06:46:29.1,3.0,2.0,5640.0,5.12,0.0464,2.0,1.8,0.088,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000619,-10.0,1.29,-10.0,12.541,0.025,11.571,0.03,11.159,0.02,10.908,0.023,10.827,0.021,,,,,,,,,,,,,,,,,
10.0,05 43 24.64 -08 13 27.5,0.0,3.0,3830.0,5.18,0.456,2.0,5.7,0.026,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000668,-10.0,0.14,-10.0,11.987,0.021,11.385,0.024,11.142,0.019,11.003,0.022,10.9,0.021,,,,,,,,,,,,,,,,,
13.0,05 38 25.89 -06 59 51.9,0.0,6.0,3820.0,5.39,0.485,1.0,5.676,0.037,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000813,-10.0,0.17,-10.0,13.077,0.023,12.378,0.025,12.178,0.026,12.058,0.024,11.916,0.022,,,,,,,,,,,,,,,,,
26.0,05 33 16.24 -06 13 19.5,0.0,1.0,4650.0,4.89,0.0439,2.0,3.864,0.014,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000615,-10.0,0.278,-10.0,11.533,0.019,10.949,0.02,10.814,0.021,10.777,0.023,10.792,0.021,,,,,,,,,,,,,,,,,
39.0,05 35 29.92 -06 44 15.1,0.0,1.0,5870.0,5.26,0.0329,2.0,1.844,0.032,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000625,-10.0,1.243,-10.0,12.58,0.019,11.896,0.03,11.624,0.016,11.475,0.023,11.462,0.02,,,,,,,,,,,,,,,,,
42.0,05 37 01.0 -07 35 46.9,0.0,1.0,3150.0,5.16,0.318,2.0,12.602,0.031,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000785,-10.0,0.033,-10.0,,,,,,,10.199,0.023,10.042,0.021,9.888,0.065,,,,,,,,,,,,,,,
44.0,05 38 01.6 -07 22 21.8,0.0,1.0,5080.0,5.0,7.16e-05,1.0,4.417,0.065,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00068,-10.0,0.235,-10.0,10.499,0.017,10.009,0.022,9.916,0.022,9.86,0.023,9.921,0.02,9.305,0.045,,,,,,,,,,,,,,,
