,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
7,8,05:35:10.77 -06:51:55.7,0.0,2.0,6510.0,5.99,0.0619,1.0,2.476,0.016,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000147,-10.0,0.162,-10.0,,,,,,,10.531,0.023,10.539,0.021,10.041,0.067,,,,,,,,,,,,,,,
13,17,05 34 51.74 -04 40 05.94*,,,,,,,2.591,0.029,,,,0.00128,-6.84,0.03,5.78,0.03,0.000872,6.9e-05,0.984,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,46,05 40 55.3 -08 13 16.9,0.0,1.0,5450.0,5.28,0.137,1.0,3.013,0.014,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000705,-10.0,0.525,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,70,05 34 59.01 -05 44 29.50*,2.0,1.0,4150.0,,0.171,1.0,2.502,0.038,K16,1.0,-10.0,.00309?,-0.576,0.01,0.231,0.008,0.003186,7e-05,,,,,,,,,9.442,0.023,8.876,0.02,7.264,0.056,,,9.51,0.01,9.12,0.01,8.71,0.01,8.03,0.01,5.45,0.02,-1.14,D,
58,70,05 34 59.12 -05 44 30.85*,2.0,1.0,4150.0,,0.171,1.0,2.453,0.039,K16,1.0,-10.0,.00255?,1.0554,0.012,-1.091,0.009,0.002599,7e-05,,,,,,,10.315,0.031,,,,,,,,,,,,,,,,,,,,,
60,72,05 35 16.408 -04 58 02.0,,,4000.0,,,,2.609,0.051,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00066,-10.0,0.655,-10.0,,,12.574,0.071,12.342,0.026,10.857,0.073,10.471,0.088,,,,,,,,,,,,,,,,,
63,75,05 35 25.676 -04 57 18.35,,,4000.0,,,,2.551,0.056,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000665,-10.0,0.69,-10.0,13.269,0.021,12.594,0.028,12.368,0.016,,,,,,,,,,,,,,,,,,,,,
64,76,05 35 27.05 -04 56 03.02*,,,,,,,2.555,-10.0,,,,0.00123,6.85,0.03,3.71,0.03,0.00094,7e-05,0.983,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,77,05 35 29.307 -05 45 38.17,,,4000.0,,,,2.524,0.057,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000655,-10.0,0.694,-10.0,12.935,0.019,12.253,0.031,12.022,0.02,11.751,0.024,11.606,0.025,8.11,0.036,,,,,,,,,,,,,,,
68,80,05 33 29.386 -05 07 49.1,,,4700.0,,,,2.317,0.052,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00074,-10.0,0.931,-10.0,13.293,0.019,12.413,0.026,12.089,0.023,11.997,0.034,11.911,0.046,,,,,,,,,,,,,,,,,
