,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
1,2,05:34 23.86 -05:15:40.3,3.0,5.0,4280.0,3.99,0.0215,2.0,2.557,0.029,F17,0.665,0.0129,,0.0,0.0,0.0,0.0,0.000597,-10.0,0.617,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,05:35:28.6 -04:55:03,3.0,4.0,4700.0,4.58,0.000692,1.0,3.205,0.014,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000567,-10.0,0.373,-10.0,10.902,0.019,10.372,0.028,10.29,0.019,10.164,0.028,10.343,0.032,,,,,,,,,,,,,,,,,
3,4,05:34:55.63 -06:01:03.6,3.0,5.0,3820.0,4.49,0.407,2.0,2.553,0.028,F17,0.863,0.45,,0.0,0.0,0.0,0.0,0.000645,-10.0,0.669,-10.0,12.472,0.019,11.815,0.031,11.572,0.19,11.529,0.024,11.421,0.023,,,,,,,,,,,,,,,,,
4,5,05:35:03.26 -04:49:20.9,2.0,2.0,4330.0,4.34,0.709,2.0,2.555,-10.0,F17,0.464,0.0403,0.00173,0.0717,0.017,-0.067,0.014,0.00174,7.3e-05,1.8,0.08,9.959,0.019,9.078,0.03,8.51,0.019,7.705,0.027,7.26,0.021,,,,,,,,,,,,,,,,,
5,6,05:35:03.92 -05:29:03.3,2.0,5.0,4080.0,4.32,0.407,2.0,2.537,0.026,F17,0.561,0.0121,0.00173,-0.011,0.016,0.009,0.013,0.00173,6.9e-05,1.785,0.087,11.239,0.02,10.436,0.031,10.112,0.021,9.348,0.024,9.225,0.024,6.425,0.033,,,9.49,0.01,9.11,0.01,8.83,0.02,8.05,0.02,3.52,0.03,-1.22,D,
6,7,05:35:29.89 -05:12:10.3,3.0,4.0,3060.0,4.71,0.373,2.0,2.533,0.063,F17,0.953,0.0478,,0.0,0.0,0.0,0.0,0.000816,-10.0,0.862,-10.0,12.665,0.022,12.056,0.036,11.744,0.032,,,,,,,,,,,,,,,,,,,,,
8,11,05 34 52.49 -04 49 40.4,3.0,4.0,3770.0,4.11,0.505,2.0,2.915,0.182,F17,0.857,0.103,,0.0,0.0,0.0,0.0,0.000601,-10.0,0.483,-10.0,13.76,0.027,12.454,0.032,11.875,0.025,10.397,0.034,10.117,0.039,5.149,0.036,3.287,0.077,,,,,,,,,,,,,
9,12,05 36 47.17 -05 22 50.0,2.0,4.0,3260.0,3.74,0.475,1.0,2.561,0.038,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000738,-10.0,0.774,-10.0,12.772,0.019,12.146,0.032,11.874,0.018,11.669,0.025,11.303,0.027,,,,,11.61,0.01,11.31,0.01,10.91,0.01,9.52,0.01,6.06,0.02,-0.45,D,
10,14,05 41 24.51 -08 56 32.0,2.0,3.0,4490.0,4.33,0.208,1.0,2.15,0.02,F17,1.0,-10.0,0.000831,0.355,0.032,-0.217,0.026,0.00086,6.9e-05,1.251,0.1,11.108,0.021,10.173,0.02,9.711,0.021,9.114,0.023,8.748,0.02,7.005,0.018,5.305,0.046,9.02,0.01,8.75,0.01,8.45,0.01,7.91,0.01,5.33,0.02,-1.56,D,
13,17,05 34 51.74 -04 40 05.94*,,,,,,,2.591,0.029,,,,0.00128,-6.84,0.03,5.78,0.03,0.000872,6.9e-05,0.984,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,18,05 35 11.13 -05 36 51.1,3.0,1.0,4050.0,3.93,0.179,2.0,2.591,0.029,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000644,-10.0,0.648,-10.0,11.124,0.021,10.267,0.03,9.938,0.016,9.763,0.028,9.74,0.028,,,3.993,0.105,,,,,,,,,,,,,
15,19,05 35 15.54 -05 25 14.0,3.0,1.0,4230.0,3.99,0.0933,2.0,2.505,0.051,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000845,-10.0,0.91,-10.0,10.02,0.031,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,05 35 28.13 -05 23 06.4,2.0,1.0,3610.0,3.7,0.317,2.0,2.41,0.161,F17,1.0,-10.0,0.0255,0.116,0.001,0.02096,0.0009,0.02566,6.9e-05,30.05,4.17,12.742,0.016,11.048,0.028,10.04,0.016,,,,,,,,,8.87,0.01,8.44,0.01,7.79,0.03,,,,,,D,yes
17,21,05 35 31.54 -05 40 27.8,3.0,4.0,4460.0,4.2,0.00216,2.0,2.439,0.089,F17,0.659,0.0235,,0.0,0.0,0.0,0.0,0.000637,-10.0,0.726,-10.0,12.577,0.019,11.075,0.03,10.408,0.018,9.989,0.026,9.899,0.026,,,,,,,,,,,,,,,,,
18,22,05 35 36.45 -04 21 30.4,3.0,1.0,3820.0,4.44,0.399,1.0,2.226,0.214,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000655,-10.0,0.893,-10.0,11.624,0.019,10.949,0.03,10.712,0.017,10.613,0.024,10.501,0.021,,,,,,,,,,,,,,,,,
