,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+,Cloud contamination?
0,1.0,05:32:16.83 -05:48:23.7,3.0,8.0,5840.0,3.85,0.114,1.0,2.75,0.08,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000585,0.000117,0.523,-10.0,9.635,0.025,9.388,0.02,9.312,0.024,9.267,0.023,9.277,0.021,9.08,0.052,,,,,,,,,,,,,,,,
7,8.0,05:35:10.77 -06:51:55.7,0.0,2.0,6510.0,5.99,0.0619,1.0,2.476,0.016,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00065,0.00013,0.716,-10.0,,,,,,,10.531,0.023,10.539,0.021,10.041,0.067,,,,,,,,,,,,,,,,
8,9.0,05:35:15.8 -06:46:29.1,3.0,2.0,5640.0,5.12,0.0464,2.0,1.8,0.088,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00062,0.000124,1.29,-10.0,12.541,0.025,11.571,0.03,11.159,0.02,10.908,0.023,10.827,0.021,,,,,,,,,,,,,,,,,,
9,10.0,05 43 24.64 -08 13 27.5,0.0,3.0,3830.0,5.18,0.456,2.0,5.7,0.026,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000635,0.000127,0.13,-10.0,11.987,0.021,11.385,0.024,11.142,0.019,11.003,0.022,10.9,0.021,,,,,,,,,,,,,,,,,,
12,13.0,05 38 25.89 -06 59 51.9,0.0,6.0,3820.0,5.39,0.485,1.0,5.676,0.037,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000785,0.000157,0.17,-10.0,13.077,0.023,12.378,0.025,12.178,0.026,12.058,0.024,11.916,0.022,,,,,,,,,,,,,,,,,,
14,15.0,05 34 06.93 -04 39 30.3,3.0,1.0,4700.0,4.87,0.312,2.0,2.534,0.017,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00068,0.000136,0.715,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16.0,05 34 30.87 -04 25 07.0,0.0,1.0,4300.0,5.1,0.635,2.0,2.565,0.033,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000615,0.000123,0.631,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17.0,05 34 52.2 -04 40 11.7**,2.0,1.0,5290.0,5.11,0.613,2.0,2.445,0.021,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00059,0.000118,0.667,-10.0,11.48,0.02,10.44,0.03,9.8,0.02,,,,,,,,,9.07,0.01,8.72,0.01,8.55,0.01,7.91,0.01,4.75,0.02,-1.55,D,,
25,25.0,05 32 44.07 -05 29 52.3,3.0,1.0,4770.0,4.73,0.000735,2.0,2.287,0.094,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00068,0.000136,0.878,-10.0,13.585,0.026,12.476,0.02,12.068,0.021,11.794,0.025,11.702,0.024,,,,,,,,,,,,,,,,,,
26,26.0,05 33 16.24 -06 13 19.5,0.0,1.0,4650.0,4.89,0.0439,2.0,3.864,0.014,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0006,0.00012,0.271,-10.0,11.533,0.019,10.949,0.02,10.814,0.021,10.777,0.023,10.792,0.021,,,,,,,,,,,,,,,,,,
