RAJ2000,DEJ2000,Teff
05 32 33.99,-04 44 55.65,5505.834
05 32 34.29,-04 56 25.47,4381.024
05 32 34.57,-04 39 54.63,5982.788
05 32 35.05,-06 05 37.31,3322.016
05 32 36.16,-05 00 41.98,3182.093
05 32 37.16,-05 53 21.53,5751.805
05 32 37.45,-05 04 02.33,5530.482
05 32 37.49,-05 12 41.28,3595.335
05 32 38.05,-05 51 48.41,3459.786
05 32 38.46,-05 31 18.09,5590.652
05 32 41.19,-05 04 24.59,6005.047
05 32 41.19,-05 51 25.55,6668.523
05 32 41.25,-05 20 45.28,6424.5
05 32 41.97,-05 39 23.97,4178.382
05 32 42.53,-05 05 37.41,3301.072
05 32 42.67,-04 59 31.30,3865.094
05 32 42.79,-05 11 06.03,5810.269
05 32 43.42,-05 35 57.22,3434.97
05 32 44.08,-05 29 52.39,4600.029
05 32 44.29,-04 56 09.25,5910.494
05 32 44.38,-05 20 06.69,5262.534
05 32 44.39,-05 51 10.10,4641.826
05 32 45.67,-05 19 49.01,4261.928
05 32 45.92,-06 08 36.21,5581.017
05 32 46.37,-05 00 11.10,5533.298
05 32 46.49,-04 57 39.45,6999.997
05 32 46.93,-05 16 10.65,6190.104
05 32 47.61,-04 48 52.25,3350.037
05 32 47.90,-06 13 12.97,5504.548
05 32 49.77,-04 28 16.99,6182.734
05 32 51.00,-04 27 39.50,6996.571
05 32 51.04,-05 42 34.29,6594.292
05 32 52.10,-05 55 02.02,6582.331
05 32 53.52,-06 06 01.10,3274.44
05 32 55.78,-05 37 02.19,3199.352
05 32 56.24,-04 51 04.34,5496.095
05 32 56.30,-06 03 18.91,3492.08
05 32 56.90,-05 12 47.70,3515.028
05 32 56.94,-05 14 27.62,5773.735
05 32 57.08,-04 33 59.39,6999.741
05 32 57.17,-05 07 32.84,6998.026
05 32 57.92,-06 02 42.99,3438.171
05 32 58.55,-05 01 03.05,6210.54
05 32 58.61,-05 05 12.29,6998.932
05 32 59.25,-05 24 26.06,3388.789
05 32 59.66,-04 32 38.83,5655.176
05 32 59.68,-04 43 21.60,4639.559
05 32 59.89,-04 47 17.87,3857.784
05 33 00.64,-05 02 57.92,5990.852
05 33 01.37,-06 08 08.00,5320.631
05 33 01.75,-04 49 18.46,2852.885
05 33 03.47,-04 52 34.81,5019.404
05 33 03.82,-05 29 25.26,5087.516
05 33 04.30,-05 12 31.56,5339.488
05 33 04.33,-05 19 41.01,4355.743
05 33 04.99,-05 34 35.67,6628.311
05 33 05.42,-04 57 12.89,5748.611
05 33 05.51,-04 32 50.01,5613.325
05 33 06.01,-04 29 17.42,3458.705
05 33 07.32,-04 56 34.84,4386.693
05 33 07.48,-05 20 25.94,6862.262
05 33 07.58,-05 09 27.95,6995.815
05 33 07.59,-06 12 02.88,5698.153
05 33 07.91,-05 57 17.73,5519.397
05 33 07.96,-04 34 18.09,5291.494
05 33 08.92,-05 34 18.78,6017.204
05 33 09.34,-04 28 55.17,5310.531
05 33 10.53,-05 42 24.47,3467.59
05 33 10.59,-04 59 07.89,3371.931
05 33 11.41,-05 28 54.18,4813.748
05 33 11.53,-04 53 27.60,4430.457
05 33 13.45,-04 51 32.81,3520.487
05 33 14.16,-06 11 48.92,3390.933
05 33 14.92,-05 30 33.56,3263.934
05 33 15.61,-04 28 09.30,5795.689
05 33 16.25,-06 13 19.51,4498.466
05 33 17.33,-05 19 34.17,4557.506
05 33 17.51,-04 21 12.83,6999.742
05 33 18.14,-04 22 43.33,3350.208
05 33 19.65,-06 16 58.20,4660.506
05 33 19.80,-06 04 23.27,3472.574
05 33 20.14,-06 14 04.64,5429.072
05 33 20.44,-05 11 23.97,3321.018
05 33 20.72,-04 30 11.06,5668.693
05 33 21.16,-04 43 53.63,3950.957
05 33 21.37,-05 21 34.71,4276.0
05 33 21.77,-05 04 16.72,3424.369
05 33 22.01,-04 38 28.88,6534.966
05 33 22.17,-06 11 53.83,3744.98
05 33 22.20,-04 42 53.48,3330.317
05 33 22.31,-04 26 39.85,4386.612
05 33 22.34,-05 21 35.77,6067.405
05 33 22.40,-05 32 33.50,3470.517
05 33 22.49,-05 23 03.15,3344.841
05 33 22.64,-06 07 09.78,3484.316
05 33 22.93,-05 06 47.96,3437.518
05 33 23.14,-04 34 12.46,6021.992
05 33 23.26,-05 19 54.34,4601.7
05 33 23.45,-04 32 50.61,3196.355
05 33 23.54,-05 39 17.30,5523.75
05 33 23.71,-06 09 33.62,3604.441
05 33 23.97,-05 17 42.39,5821.799
05 33 24.02,-06 07 10.44,3338.534
05 33 24.43,-05 21 16.48,6074.736
05 33 25.04,-04 23 20.16,3440.899
05 33 25.53,-06 06 34.46,3373.274
05 33 25.54,-05 20 37.00,5075.468
05 33 26.40,-05 16 40.62,5228.562
05 33 26.79,-05 08 15.21,5751.389
05 33 27.73,-04 30 21.47,5286.795
05 33 27.74,-05 56 18.81,5513.468
05 33 27.80,-06 02 56.17,6454.983
05 33 27.83,-06 09 22.02,5644.268
05 33 28.49,-06 02 06.18,3344.718
05 33 28.52,-05 17 26.27,3710.347
05 33 28.87,-04 43 13.16,4427.932
05 33 28.90,-05 19 32.32,4411.948
05 33 28.92,-05 09 30.68,5742.333
05 33 29.10,-04 50 58.43,4867.007
05 33 29.46,-05 45 26.06,6000.043
05 33 30.20,-05 22 57.47,6118.674
05 33 30.21,-06 04 09.61,3531.776
05 33 30.48,-04 42 12.06,6320.457
05 33 30.69,-05 02 14.86,3547.29
05 33 30.76,-05 13 52.06,3358.8
05 33 30.95,-04 57 40.47,5779.291
05 33 31.00,-06 06 05.62,3353.313
05 33 31.12,-05 25 22.80,3266.527
05 33 31.49,-06 09 54.18,3159.422
05 33 31.79,-06 24 17.11,3424.749
05 33 32.24,-05 33 33.89,4595.956
05 33 32.55,-06 06 47.70,3225.825
05 33 32.91,-05 59 09.45,6423.946
05 33 33.05,-05 11 55.50,3349.677
05 33 33.36,-05 04 23.56,5849.838
05 33 33.78,-06 26 22.10,3239.648
05 33 33.90,-05 33 26.45,3384.883
05 33 34.06,-05 05 01.54,6999.176
05 33 34.26,-04 43 45.80,3696.078
05 33 34.30,-04 44 18.09,3379.563
05 33 34.40,-06 13 52.67,3463.332
05 33 34.44,-05 14 17.74,3429.326
05 33 34.88,-04 32 28.65,5869.741
05 33 35.81,-06 06 25.85,3261.129
05 33 35.89,-05 01 32.49,3366.602
05 33 35.90,-06 06 41.48,4327.607
05 33 36.44,-05 11 53.39,3534.46
05 33 37.05,-05 23 06.99,3449.225
05 33 37.25,-05 26 52.90,4468.4
05 33 38.10,-05 14 23.19,6529.53
05 33 38.51,-06 09 19.31,3432.197
05 33 38.56,-05 13 12.53,3294.809
05 33 39.14,-05 33 10.89,6522.944
05 33 39.70,-04 50 02.93,5304.684
05 33 40.02,-05 15 24.34,4201.582
05 33 41.19,-05 00 50.05,5527.253
05 33 41.28,-04 49 25.75,3434.074
05 33 41.57,-05 09 34.27,5995.304
05 33 41.68,-05 24 04.26,3431.444
05 33 43.35,-04 47 09.21,3267.617
05 33 43.57,-05 32 25.76,4653.298
05 33 43.68,-06 24 28.78,4297.801
05 33 44.19,-04 39 58.90,6192.032
05 33 44.50,-04 59 30.80,5247.542
05 33 44.72,-05 21 04.08,4366.012
05 33 44.79,-05 14 09.88,3895.658
05 33 44.98,-06 14 00.51,3532.644
05 33 45.19,-04 37 08.80,3911.929
05 33 45.26,-05 30 49.88,3771.724
05 33 45.38,-06 04 25.38,3438.284
05 33 45.45,-05 36 32.36,3150.441
05 33 45.58,-05 00 40.76,3355.61
05 33 46.10,-05 34 26.47,3895.987
05 33 46.48,-05 25 22.35,5139.601
05 33 46.48,-05 57 12.75,5008.282
05 33 46.51,-06 15 16.71,4158.487
05 33 46.69,-05 23 25.61,3239.23
05 33 47.33,-06 00 39.62,3347.476
05 33 47.65,-05 25 48.58,3242.586
05 33 47.80,-04 55 03.63,3420.496
05 33 48.22,-05 13 26.21,3354.999
05 33 48.34,-05 22 39.36,3466.612
05 33 48.96,-05 17 53.19,3468.029
05 33 49.04,-06 20 31.88,5478.3
05 33 49.29,-05 32 45.14,5806.965
05 33 49.52,-05 45 43.48,4978.825
05 33 49.54,-05 36 20.84,3973.273
05 33 50.27,-04 38 34.18,3811.383
05 33 50.32,-06 21 30.88,3515.324
05 33 50.74,-05 00 39.45,3368.912
05 33 51.30,-04 51 47.77,6568.995
05 33 51.32,-05 23 16.45,3195.313
05 33 51.35,-04 48 22.20,3526.247
05 33 51.42,-04 36 55.36,6008.7
05 33 51.83,-06 12 46.63,4308.4
05 33 51.88,-05 54 25.75,3482.884
05 33 52.01,-05 06 55.78,3311.308
05 33 52.11,-05 30 28.48,3344.081
05 33 52.36,-05 41 50.20,4235.734
05 33 52.38,-05 31 22.99,4376.97
05 33 52.42,-04 44 00.94,5485.207
05 33 53.09,-05 35 15.29,6249.23
05 33 53.25,-05 16 33.24,4969.531
05 33 53.26,-04 56 05.05,3430.94
05 33 53.41,-06 17 10.22,3350.712
05 33 54.14,-05 03 40.16,3219.078
05 33 54.15,-06 06 37.60,3397.254
05 33 54.50,-05 32 00.34,3569.112
05 33 54.58,-06 02 08.68,4074.72
