RAJ2000,DEJ2000,Teff
05 33 17.95,-05 21 38.6,3500
05 33 17.95,-05 21 38.6,3750
05 33 17.95,-05 21 38.6,3750
05 33 17.95,-05 21 38.6,3750
05 33 17.95,-05 21 38.6,3750
05 33 20.44,-05 11 24.0,4000
05 33 20.44,-05 11 24.0,4000
05 33 20.44,-05 11 24.0,4000
05 33 20.44,-05 11 24.0,4000
05 33 22.58,-05 32 40.1,4000
05 33 22.58,-05 32 40.1,4000
05 33 23.32,-05 21 53.1,4250
05 33 23.32,-05 21 53.1,4250
05 33 23.32,-05 21 53.1,4250
05 33 25.61,-05 23 54.2,4750
05 33 25.61,-05 23 54.2,4750
05 33 25.61,-05 23 54.2,5000
05 33 25.61,-05 23 54.2,4750
05 33 26.39,-05 16 40.6,5250
05 33 26.39,-05 16 40.6,4750
05 33 26.39,-05 16 40.6,5250
05 33 26.39,-05 16 40.6,5250
05 33 26.39,-05 16 40.6,6000
05 33 28.37,-04 55 49.5,5750
05 33 28.52,-05 17 26.3,4250
05 33 28.52,-05 17 26.3,4250
05 33 28.52,-05 17 26.3,4250
05 33 28.52,-05 17 26.3,4250
05 33 28.76,-05 26 10.1,4000
05 33 28.76,-05 26 10.1,4000
05 33 28.76,-05 26 10.1,4000
05 33 29.83,-05 27 35.4,4250
05 33 29.83,-05 27 35.4,4000
05 33 29.83,-05 27 35.4,4250
05 33 30.19,-05 22 57.5,6250
05 33 30.19,-05 22 57.5,6750
05 33 30.19,-05 22 57.5,6750
05 33 30.19,-05 22 57.5,6500
05 33 30.21,-06 04 09.6,4000
05 33 30.71,-05 08 13.7,6250
05 33 30.71,-05 08 13.7,5250
05 33 30.74,-05 13 52.0,4000
05 33 30.74,-05 13 52.0,4000
05 33 30.74,-05 13 52.0,5000
05 33 30.74,-05 13 52.0,4000
05 33 30.74,-05 13 52.0,4000
05 33 30.74,-05 13 52.0,4000
05 33 31.00,-06 06 05.6,4000
05 33 31.00,-06 06 05.6,4000
05 33 31.00,-06 06 05.6,3750
05 33 31.20,-05 29 57.7,3750
05 33 31.20,-05 29 57.7,3500
05 33 31.20,-05 29 57.7,4000
05 33 31.20,-05 29 57.7,4000
05 33 31.20,-05 29 57.7,3750
05 33 31.20,-05 29 57.7,4000
05 33 31.20,-05 29 57.7,3750
05 33 31.20,-05 29 57.7,3500
05 33 31.49,-06 09 54.2,3750
05 33 31.49,-06 09 54.2,3750
05 33 31.49,-06 09 54.2,4000
05 33 32.91,-05 59 09.5,6250
05 33 33.31,-04 39 18.0,6000
05 33 33.31,-04 39 18.0,6250
05 33 33.31,-04 39 18.0,6000
05 33 33.31,-04 39 18.0,6000
05 33 33.90,-05 33 26.5,4250
05 33 33.90,-05 33 26.5,4000
05 33 33.90,-05 33 26.5,4000
05 33 33.90,-05 33 26.5,4000
05 33 33.90,-05 33 26.5,4000
05 33 34.40,-06 13 52.7,4000
05 33 34.40,-06 13 52.7,4000
05 33 34.40,-06 13 52.7,4000
05 33 34.45,-05 14 17.9,4000
05 33 34.45,-05 14 17.9,4000
05 33 34.45,-05 14 17.9,4000
05 33 34.45,-05 14 17.9,4000
05 33 34.45,-05 14 17.9,4000
05 33 34.45,-05 14 17.9,4000
05 33 35.71,-05 09 23.5,4000
05 33 35.71,-05 09 23.5,4000
05 33 35.71,-05 09 23.5,4000
05 33 35.71,-05 09 23.5,4000
05 33 35.90,-06 06 41.5,4500
05 33 35.90,-06 06 41.5,4500
05 33 35.90,-06 06 41.5,4500
05 33 36.43,-05 11 53.4,4250
05 33 36.43,-05 11 53.4,4250
05 33 36.43,-05 11 53.4,4250
05 33 36.43,-05 11 53.4,4000
05 33 36.44,-04 49 49.0,3750
05 33 36.44,-04 49 49.0,3750
05 33 36.44,-04 49 49.0,3750
05 33 36.44,-04 49 49.0,3750
05 33 36.44,-04 49 49.0,3750
05 33 37.71,-04 33 49.2,4250
05 33 37.71,-04 33 49.2,4250
05 33 38.55,-05 13 12.5,3750
05 33 38.55,-05 13 12.5,4000
05 33 38.55,-05 13 12.5,4750
05 33 38.55,-05 13 12.5,3750
05 33 38.55,-05 13 12.5,3750
05 33 39.07,-05 54 34.1,4750
05 33 39.07,-05 54 34.1,4750
05 33 39.07,-05 54 34.1,4750
05 33 39.14,-05 33 10.9,6000
05 33 39.14,-05 33 10.9,6250
05 33 39.14,-05 33 10.9,6500
05 33 39.16,-04 38 07.3,4000
05 33 39.16,-04 38 07.3,3750
05 33 39.16,-04 38 07.3,3750
05 33 39.16,-04 38 07.3,4000
05 33 39.83,-05 19 54.7,4000
05 33 39.83,-05 19 54.7,4000
05 33 39.83,-05 19 54.7,4000
05 33 39.83,-05 19 54.7,4000
05 33 39.83,-05 19 54.7,4000
05 33 40.64,-05 59 28.3,6750
05 33 40.64,-05 59 28.3,6500
05 33 40.64,-05 59 28.3,6750
05 33 40.67,-05 00 46.4,4000
05 33 40.67,-05 00 46.4,4000
05 33 40.67,-05 00 46.4,4000
05 33 40.67,-05 00 46.4,4000
05 33 40.67,-05 00 46.4,4000
05 33 40.67,-05 00 46.4,4000
05 33 41.57,-05 09 34.3,6250
05 33 41.57,-05 09 34.3,6000
05 33 41.57,-05 09 34.3,6000
05 33 41.57,-05 09 34.3,5750
05 33 41.57,-05 09 34.3,5000
05 33 41.57,-05 09 34.3,5750
05 33 41.57,-05 09 34.3,6000
05 33 41.59,-04 55 59.9,3750
05 33 41.59,-04 55 59.9,3750
05 33 41.67,-05 24 04.3,4000
05 33 41.67,-05 24 04.3,4000
05 33 41.67,-05 24 04.3,4000
05 33 41.67,-05 24 04.3,4000
05 33 41.74,-05 10 34.7,6500
05 33 41.74,-05 10 34.7,6250
05 33 41.74,-05 10 34.7,6500
05 33 43.19,-04 47 14.3,3750
05 33 43.19,-04 47 14.3,3750
05 33 43.25,-06 05 23.5,4000
05 33 43.25,-06 05 23.5,4000
05 33 43.25,-06 05 23.5,4000
05 33 43.57,-05 32 25.8,6250
05 33 43.57,-05 32 25.8,6750
05 33 43.57,-05 32 25.8,5500
05 33 43.57,-05 32 25.8,6000
05 33 43.57,-05 32 25.8,6000
05 33 43.57,-05 32 25.8,6000
05 33 44.50,-04 59 30.8,5000
05 33 44.50,-04 59 30.8,5250
05 33 44.50,-04 59 30.8,5250
05 33 44.50,-04 59 30.8,5250
05 33 44.50,-04 59 30.8,5250
05 33 44.50,-04 59 30.8,5250
05 33 44.50,-04 59 30.8,5250
05 33 44.50,-04 59 30.8,5250
05 33 45.47,-05 36 32.4,3750
05 33 45.47,-05 36 32.4,3750
05 33 45.75,-04 41 24.5,4000
05 33 45.75,-04 41 24.5,4000
05 33 45.75,-04 41 24.5,4000
05 33 45.75,-04 41 24.5,4000
05 33 46.51,-06 15 16.7,4250
05 33 46.51,-06 15 16.7,4250
05 33 46.51,-06 15 16.7,4250
05 33 47.65,-05 25 48.6,4000
05 33 47.65,-05 25 48.6,4000
05 33 47.65,-05 25 48.6,4000
05 33 47.70,-04 52 08.5,4000
05 33 47.70,-04 52 08.5,4000
05 33 47.70,-04 52 08.5,4000
05 33 47.70,-04 52 08.5,4000
05 33 47.70,-04 52 08.5,4000
05 33 48.18,-04 39 27.4,4000
05 33 48.18,-04 39 27.4,4000
05 33 48.18,-04 39 27.4,4000
05 33 48.18,-04 39 27.4,4000
05 33 48.18,-04 39 27.4,4250
05 33 48.20,-05 13 26.4,5000
05 33 48.23,-05 34 47.2,4000
05 33 48.23,-05 34 47.2,4000
05 33 48.23,-05 34 47.2,4000
05 33 48.23,-05 34 47.2,4000
05 33 48.33,-05 22 39.4,4000
05 33 48.33,-05 22 39.4,4000
05 33 48.33,-05 22 39.4,4250
05 33 48.33,-05 22 39.4,4000
05 33 48.96,-05 17 53.2,4000
05 33 48.96,-05 17 53.2,4250
05 33 48.96,-05 17 53.2,4250
05 33 48.96,-05 17 53.2,4250
05 33 48.96,-05 17 53.2,4250
05 33 48.96,-05 17 53.2,4250
05 33 48.96,-05 17 53.2,4000
05 33 48.96,-05 17 53.2,4000
05 33 49.18,-05 23 02.4,4000
05 33 49.18,-05 23 02.4,3750
05 33 49.18,-05 23 02.4,4000
05 33 49.18,-05 23 02.4,3500
05 33 49.54,-05 36 20.5,4250
05 33 49.54,-05 36 20.5,4250
05 33 49.54,-05 36 20.5,4250
05 33 49.78,-04 33 29.6,5750
05 33 49.78,-04 33 29.6,5750
05 33 50.72,-05 00 39.6,4000
05 33 50.72,-05 00 39.6,3750
05 33 50.72,-05 00 39.6,4000
05 33 50.72,-05 00 39.6,4000
05 33 50.72,-05 00 39.6,4250
05 33 51.35,-04 48 22.2,4250
05 33 51.35,-04 48 22.2,4000
05 33 51.35,-04 48 22.2,4000
05 33 51.35,-04 48 22.2,4000
05 33 52.01,-05 06 55.8,4000
05 33 52.01,-05 06 55.8,3750
05 33 52.01,-05 06 55.8,4000
05 33 52.01,-05 06 55.8,4000
05 33 52.01,-05 06 55.8,4000
05 33 52.11,-05 30 28.5,4000
05 33 52.11,-05 30 28.5,4000
05 33 52.11,-05 30 28.5,4000
05 33 52.11,-05 30 28.5,4000
05 33 52.11,-05 30 28.5,4000
05 33 52.38,-05 41 50.3,4250
05 33 52.38,-05 41 50.3,4250
05 33 52.38,-05 41 50.3,4250
05 33 52.42,-04 44 00.9,5250
05 33 52.42,-04 44 00.9,5250
05 33 52.42,-04 44 00.9,5250
05 33 52.42,-04 44 00.9,5250
05 33 53.09,-05 35 15.3,3750
05 33 54.14,-05 03 40.2,4000
05 33 54.14,-05 03 40.2,3750
05 33 54.14,-05 03 40.2,3750
05 33 54.14,-05 03 40.2,4000
05 33 54.14,-05 03 40.2,3750
05 33 54.58,-06 02 08.7,4250
05 33 54.58,-06 02 08.7,4250
05 33 54.58,-06 02 08.7,4250
05 33 56.53,-05 06 47.7,4250
05 33 56.53,-05 06 47.7,4250
