2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03173879+4850489,*,49.4116478,48.84693146,3,3510.0,5.01,2MASS J03173879+4850489
2M03174209+4901465,*,49.42537689,49.02960968,3,5510.0,5.14,2MASS J03174209+4901465
2M03175213+4833134,*,49.46725082,48.55373764,0,4110.0,2.4,2MASS J03175213+4833134
2M03180855+4918551,*,49.53566742,49.31531143,0,4200.0,4.54,2MASS J03180855+4918551
2M03181332+4856396,*,49.55551147,48.94435883,0,3220.0,3.75,2MASS J03181332+4856396
2M03182309+4928026,*,49.59623718,49.46741486,3,3880.0,5.16,2MASS J03182309+4928026
2M03182562+4822557,*,49.60676575,48.38215637,0,5120.0,3.87,2MASS J03182562+4822557
2M03183137+4928568,*,49.6307106,49.48245621,0,5810.0,4.33,2MASS J03183137+4928568
2M03184477+4946119,*,49.68658066,49.7699852,0,11800.0,4.5,2MASS J03184477+4946119
2M03185031+4943522,*,49.70962524,49.73117065,0,6030.0,5.2,2MASS J03185031+4943522
2M03185046+4816032,*,49.71026611,48.26755905,3,4760.0,4.8,2MASS J03185046+4816032
2M03185869+4850423,*,49.7445755,48.84509659,0,4510.0,4.68,2MASS J03185869+4850423
2M03190241+4933375,*,49.76005173,49.56041718,0,4030.0,4.73,2MASS J03190241+4933375
2M03191831+4820578,*,49.82630539,48.34941483,0,5360.0,3.9,2MASS J03191831+4820578
2M03192494+4859402,*,49.85391998,48.99450302,3,3210.0,5.22,2MASS J03192494+4859402
2M03193068+4903021,*,49.87783813,49.05060196,3,4000.0,5.09,2MASS J03193068+4903021
2M03193117+4941171,*,49.87989044,49.68811035,3,3050.0,5.16,2MASS J03193117+4941171
2M03193783+4808383,*,49.90766144,48.14398956,3,3100.0,5.29,2MASS J03193783+4808383
2M03194003+4840367,*,49.91679382,48.67686462,0,5110.0,3.87,2MASS J03194003+4840367
2M03194174+4854489,*,49.92393875,48.91360474,0,6070.0,4.21,2MASS J03194174+4854489
2M03194386+4956130,*,49.93275452,49.9369545,3,4440.0,5.03,2MASS J03194386+4956130
2M03194725+4837406,*,49.94689941,48.62797165,0,11800.0,4.66,2MASS J03194725+4837406
2M03195191+4953093,*,49.96630478,49.88592911,0,5560.0,2.94,2MASS J03195191+4953093
2M03195729+4904215,*,49.98874283,49.07266235,3,3820.0,5.17,2MASS J03195729+4904215
2M03195767+4952069,*,49.9903183,49.86858368,0,4750.0,4.51,2MASS J03195767+4952069
2M03201212+4856412,*,50.05052185,48.94478989,3,3730.0,5.32,2MASS J03201212+4856412
2M03201623+4809175,*,50.06766129,48.15488815,3,3950.0,5.26,2MASS J03201623+4809175
2M03204084+4752119,*,50.17019653,47.86999893,0,4900.0,3.89,2MASS J03204084+4752119
2M03204185+4824375,*,50.17441177,48.41043091,3,5420.0,5.19,2MASS J03204185+4824375
2M03205158+4927574,*,50.2149353,49.46596527,3,4820.0,4.89,2MASS J03205158+4927574
2M03205652+4920429,*,50.23552704,49.34525681,3,3820.0,5.15,2MASS J03205652+4920429
2M03210233+4947035,*,50.25971985,49.78432465,3,3170.0,5.23,2MASS J03210233+4947035
2M03210346+4940059,*,50.26445389,49.66830826,0,3940.0,1.86,2MASS J03210346+4940059
2M03210651+4826127,*,50.27713013,48.43686676,3,4940.0,5.06,2MASS J03210651+4826127
2M03211598+4911171,*,50.31662369,49.18809509,0,5460.0,3.95,2MASS J03211598+4911171
2M03212020+4845270,*,50.33420563,48.7575264,3,5440.0,5.14,2MASS J03212020+4845270
2M03212047+4753152,*,50.33533096,47.8875618,3,3990.0,5.12,2MASS J03212047+4753152
2M03212217+4957033,*,50.34241486,49.9509201,3,4550.0,4.99,2MASS J03212217+4957033
2M03213023+4829379,*,50.3759613,48.49387741,0,6680.0,4.2,2MASS J03213023+4829379
2M03213832+4948558,*,50.40969467,49.81552505,3,3440.0,5.15,2MASS J03213832+4948558
2M03214021+4907127,*,50.41755676,49.12022018,0,6880.0,4.9,2MASS J03214021+4907127
2M03215861+4912535,*,50.4942131,49.21487427,0,6930.0,4.42,2MASS J03215861+4912535
2M03220008+4823491,*,50.50035858,48.39697647,3,4470.0,4.97,2MASS J03220008+4823491
2M03220321+5004068,*,50.51337814,50.068573,3,4030.0,5.31,2MASS J03220321+5004068
2M03220355+4756047,*,50.51480865,47.93465424,0,12200.0,4.56,2MASS J03220355+4756047
2M03220476+4911544,*,50.51987076,49.19845963,3,3040.0,4.9,2MASS J03220476+4911544
2M03220975+4834024,*,50.54065704,48.56735229,3,3870.0,5.35,2MASS J03220975+4834024
2M03221074+4805023,*,50.54476547,48.08397293,0,5350.0,3.98,2MASS J03221074+4805023
2M03222191+4908277,*,50.59133148,49.1410408,0,5100.0,4.61,2MASS J03222191+4908277
2M03222806+4849393,*,50.61695862,48.82760239,3,4010.0,5.01,2MASS J03222806+4849393
2M03223864+4843457,*,50.66101456,48.72937393,0,4460.0,3.29,2MASS J03223864+4843457
2M03224154+4816075,*,50.67308426,48.26875687,3,4620.0,4.88,2MASS J03224154+4816075
2M03224837+4939232,*,50.70157623,49.65644836,0,3870.0,5.04,2MASS J03224837+4939232
2M03225419+4849446,*,50.725811,48.82908249,3,3020.0,5.01,2MASS J03225419+4849446
2M03230655+4844168,*,50.77732468,48.73800659,3,3170.0,5.15,2MASS J03230655+4844168
2M03230870+4923534,*,50.78626633,49.39817429,0,8140.0,4.48,2MASS J03230870+4923534
2M03230978+4814426,*,50.79077911,48.24517441,3,3520.0,5.52,2MASS J03230978+4814426
2M03231193+4754345,*,50.79972076,47.90960693,0,4000.0,5.41,2MASS J03231193+4754345
2M03231778+4800240,*,50.82408524,48.00667572,0,6060.0,5.16,2MASS J03231778+4800240
2M03232271+4929395,*,50.84466553,49.49433136,3,3770.0,5.39,2MASS J03232271+4929395
2M03232505+4754379,*,50.85440826,47.91053772,3,3870.0,5.52,2MASS J03232505+4754379
2M03233236+4811136,*,50.88483429,48.18712616,3,3120.0,5.17,2MASS J03233236+4811136
2M03233662+4858533,*,50.90261459,48.98148727,3,5120.0,5.14,2MASS J03233662+4858533
2M03233718+3056336,*,50.90494156,30.94268608,0,5140.0,3.95,2MASS J03233718+3056336
2M03233761+4918225,*,50.90672302,49.3062706,0,5280.0,4.16,2MASS J03233761+4918225
2M03233787+3131094,*,50.90779877,31.51929855,0,5480.0,4.66,2MASS J03233787+3131094
2M03234031+4757296,*,50.91796494,47.95824814,0,6110.0,4.13,2MASS J03234031+4757296
2M03234277+3053142,*,50.92822647,30.88728905,0,5840.0,4.36,2MASS J03234277+3053142
2M03234517+3109561,*,50.93822098,31.16558838,0,6020.0,4.34,2MASS J03234517+3109561
2M03234570+4919527,*,50.94041824,49.3313179,3,3720.0,5.3,2MASS J03234570+4919527
2M03234653+4759206,*,50.94390488,47.98906708,3,3570.0,5.42,2MASS J03234653+4759206
