2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName,coords
2M03173879+4850489,*,49.4116478,48.84693146,3,3510.0,5.01,2MASS J03173879+4850489,03h17m38.7955s +48d50m48.9533s
2M03174209+4901465,*,49.42537689,49.02960968,3,5510.0,5.14,2MASS J03174209+4901465,03h17m42.0905s +49d01m46.5948s
2M03175213+4833134,*,49.46725082,48.55373764,0,4110.0,2.4,2MASS J03175213+4833134,03h17m52.1402s +48d33m13.4555s
2M03180855+4918551,*,49.53566742,49.31531143,0,4200.0,4.54,2MASS J03180855+4918551,03h18m08.5602s +49d18m55.1211s
2M03181332+4856396,*,49.55551147,48.94435883,0,3220.0,3.75,2MASS J03181332+4856396,03h18m13.3228s +48d56m39.6918s
2M03182309+4928026,*,49.59623718,49.46741486,3,3880.0,5.16,2MASS J03182309+4928026,03h18m23.0969s +49d28m02.6935s
2M03182562+4822557,*,49.60676575,48.38215637,0,5120.0,3.87,2MASS J03182562+4822557,03h18m25.6238s +48d22m55.7629s
2M03183137+4928568,*,49.6307106,49.48245621,0,5810.0,4.33,2MASS J03183137+4928568,03h18m31.3705s +49d28m56.8424s
2M03184477+4946119,*,49.68658066,49.7699852,0,11800.0,4.5,2MASS J03184477+4946119,03h18m44.7794s +49d46m11.9467s
2M03185031+4943522,*,49.70962524,49.73117065,0,6030.0,5.2,2MASS J03185031+4943522,03h18m50.3101s +49d43m52.2143s
2M03185046+4816032,*,49.71026611,48.26755905,3,4760.0,4.8,2MASS J03185046+4816032,03h18m50.4639s +48d16m03.2126s
2M03185869+4850423,*,49.7445755,48.84509659,0,4510.0,4.68,2MASS J03185869+4850423,03h18m58.6981s +48d50m42.3477s
2M03190241+4933375,*,49.76005173,49.56041718,0,4030.0,4.73,2MASS J03190241+4933375,03h19m02.4124s +49d33m37.5018s
2M03191831+4820578,*,49.82630539,48.34941483,0,5360.0,3.9,2MASS J03191831+4820578,03h19m18.3133s +48d20m57.8934s
2M03192494+4859402,*,49.85391998,48.99450302,3,3210.0,5.22,2MASS J03192494+4859402,03h19m24.9408s +48d59m40.2109s
2M03193068+4903021,*,49.87783813,49.05060196,3,4000.0,5.09,2MASS J03193068+4903021,03h19m30.6812s +49d03m02.1671s
2M03193117+4941171,*,49.87989044,49.68811035,3,3050.0,5.16,2MASS J03193117+4941171,03h19m31.1737s +49d41m17.1973s
2M03193783+4808383,*,49.90766144,48.14398956,3,3100.0,5.29,2MASS J03193783+4808383,03h19m37.8387s +48d08m38.3624s
2M03194003+4840367,*,49.91679382,48.67686462,0,5110.0,3.87,2MASS J03194003+4840367,03h19m40.0305s +48d40m36.7126s
2M03194174+4854489,*,49.92393875,48.91360474,0,6070.0,4.21,2MASS J03194174+4854489,03h19m41.7453s +48d54m48.9771s
2M03194386+4956130,*,49.93275452,49.9369545,3,4440.0,5.03,2MASS J03194386+4956130,03h19m43.8611s +49d56m13.0362s
2M03194725+4837406,*,49.94689941,48.62797165,0,11800.0,4.66,2MASS J03194725+4837406,03h19m47.2559s +48d37m40.6979s
2M03195191+4953093,*,49.96630478,49.88592911,0,5560.0,2.94,2MASS J03195191+4953093,03h19m51.9131s +49d53m09.3448s
2M03195729+4904215,*,49.98874283,49.07266235,3,3820.0,5.17,2MASS J03195729+4904215,03h19m57.2983s +49d04m21.5845s
2M03195767+4952069,*,49.9903183,49.86858368,0,4750.0,4.51,2MASS J03195767+4952069,03h19m57.6764s +49d52m06.9012s
